,시도,연도,사고건수
0,합계,2005,26460
1,합계,2006,29988
2,합계,2007,28415
3,합계,2008,26869
4,합계,2009,28204
5,합계,2010,28641
6,합계,2011,28460
7,합계,2012,29092
8,합계,2013,26589
9,합계,2014,24043
10,합계,2015,24399
11,합계,2016,19769
12,합계,2017,19517
13,합계,2018,19381
14,합계,2019,15708
15,합계,2020,17247
16,합계,2021,14894
17,합계,2022,15059
18,합계,2023,13042
19,합계,2024,11037
