시도,시군구,2020_사고[건],2020_사망[명],2020_부상[명],2021_사고[건],2021_사망[명],2021_부상[명],2022_사고[건],2022_사망[명],2022_부상[명],2023_사고[건],2023_사망[명],2023_부상[명],2024_사고[건],2024_사망[명],2024_부상[명]
대전,중구,93,0,138,64,0,97,56,1,91,42.0,0.0,74.0,47,0,71
대전,서구,189,4,326,126,1,210,159,1,267,129.0,2.0,210.0,115,2,199
대전,유성구,117,1,205,123,2,198,113,0,175,88.0,2.0,138.0,78,1,126
대전,대덕구,50,1,85,51,1,74,44,1,70,44.0,0.0,62.0,38,0,100
울산,합계,433,5,692,348,8,499,316,5,515,240.0,4.0,360.0,255,4,368
울산,중구,63,2,97,54,1,76,48,0,82,38.0,0.0,58.0,55,0,85
울산,남구,145,0,247,109,2,150,92,0,140,80.0,2.0,116.0,90,2,122
울산,동구,64,2,81,41,0,70,40,1,53,22.0,0.0,35.0,16,0,18
울산,북구,89,1,148,86,3,122,75,3,140,45.0,1.0,72.0,58,2,93
울산,울주군,72,0,119,58,2,81,61,1,100,55.0,1.0,79.0,36,0,50
세종,합계,72,0,111,72,1,106,76,3,119,80.0,2.0,114.0,64,0,119
세종,세종시,72,0,111,72,1,106,76,3,119,80.0,2.0,114.0,64,0,119
경기,합계,4495,73,7359,4003,38,6580,4205,44,6835,3688.0,36.0,5940.0,3098,31,4879
경기,수원시,361,5,596,345,3,588,382,3,623,330.0,1.0,476.0,287,2,445
경기,성남시,310,2,483,236,2,393,258,4,391,258.0,4.0,438.0,196,1,315
경기,의정부시,139,4,262,121,1,194,129,0,228,111.0,0.0,194.0,110,1,168
경기,안양시,142,1,256,113,5,159,130,3,229,100.0,0.0,161.0,79,2,118
경기,부천시,231,2,383,167,1,296,205,1,323,186.0,1.0,282.0,153,1,252
경기,안산시,325,6,492,253,1,406,251,1,414,215.0,3.0,365.0,167,1,276
경기,평택시,317,1,531,313,1,516,292,5,502,228.0,5.0,344.0,239,1,356
경기,광명시,61,0,106,54,0,86,58,3,83,51.0,1.0,78.0,47,0,79
경기,구리시,54,0,98,57,1,94,49,0,86,39.0,1.0,50.0,48,0,82
경기,양주시,78,2,120,56,0,88,85,0,129,70.0,0.0,97.0,75,2,110
경기,여주시,52,2,94,41,1,73,42,1,62,42.0,1.0,62.0,28,0,53
경기,화성시,305,6,474,247,2,393,276,3,422,301.0,3.0,477.0,241,1,370
경기,시흥시,197,3,324,175,1,301,228,1,353,168.0,0.0,306.0,142,0,240
경기,파주시,131,2,201,154,2,257,158,2,261,122.0,0.0,194.0,93,2,131
경기,고양시,318,5,516,279,5,467,314,3,508,277.0,5.0,459.0,219,3,367
경기,광주시,172,1,258,180,1,310,156,0,247,145.0,2.0,237.0,135,3,203
경기,연천군,10,2,10,16,0,31,21,0,37,11.0,0.0,18.0,9,0,18
경기,포천시,76,9,123,80,1,135,74,4,118,49.0,1.0,76.0,49,2,71
경기,가평군,30,0,42,24,1,45,25,0,43,21.0,0.0,36.0,18,1,35
경기,양평군,34,1,70,43,0,68,43,0,69,28.0,0.0,53.0,26,0,47
경기,이천시,91,3,178,103,1,162,93,1,159,83.0,2.0,142.0,61,2,88
경기,용인시,288,1,510,284,2,464,282,2,438,260.0,2.0,406.0,196,1,325
경기,안성시,92,3,129,74,0,139,63,0,117,93.0,0.0,171.0,55,0,72
경기,김포시,156,8,249,120,3,184,160,0,274,126.0,0.0,225.0,90,0,140
경기,동두천시,38,0,58,34,0,54,24,0,42,23.0,0.0,30.0,13,0,18
경기,과천시,12,0,15,15,0,22,16,1,33,12.0,1.0,21.0,10,0,11
경기,군포시,54,0,88,50,2,84,47,1,81,40.0,1.0,63.0,33,0,47
경기,남양주시,215,4,353,181,1,290,143,3,226,131.0,0.0,215.0,133,0,228
경기,오산시,89,0,139,89,0,138,84,1,128,79.0,1.0,120.0,64,2,85
경기,의왕시,48,0,78,36,0,49,50,0,105,27.0,0.0,38.0,31,0,57
경기,하남시,69,0,123,63,0,94,67,1,104,62.0,1.0,106.0,51,3,72
강원,합계,619,11,1052,521,13,827,480,10,789,405.0,15.0,646.0,311,9,473
강원,춘천시,105,2,182,94,3,156,95,0,154,74.0,1.0,117.0,57,0,83
강원,원주시,145,0,250,142,1,208,137,2,247,97.0,1.0,169.0,85,1,143
강원,동해시,24,0,41,19,1,34,13,0,19,23.0,0.0,42.0,13,0,24
강원,강릉시,95,3,160,63,2,97,70,0,110,59.0,3.0,88.0,47,2,69
강원,속초시,52,0,87,28,0,59,35,1,64,27.0,0.0,50.0,16,0,22
강원,태백시,17,0,31,10,0,15,5,0,6,2.0,0.0,2.0,11,0,12
강원,삼척시,20,0,31,17,0,32,11,0,12,15.0,1.0,22.0,9,0,15
강원,홍천군,23,2,35,27,2,41,17,0,26,20.0,0.0,28.0,6,0,8
강원,횡성군,22,2,35,13,0,21,5,0,6,9.0,0.0,10.0,6,0,9
강원,영월군,14,0,18,9,2,16,6,1,8,6.0,1.0,9.0,11,2,17
강원,평창군,16,1,25,20,1,28,19,3,23,13.0,5.0,18.0,6,1,5
강원,정선군,6,0,9,8,0,9,7,0,12,9.0,1.0,12.0,5,0,5
강원,철원군,24,0,39,17,0,22,8,0,14,5.0,0.0,7.0,9,1,12
강원,화천군,6,1,11,4,0,9,5,3,6,5.0,0.0,10.0,2,0,2
강원,양구군,12,0,46,5,0,10,9,0,10,11.0,1.0,14.0,4,0,5
강원,인제군,7,0,9,13,0,19,9,0,14,11.0,1.0,23.0,6,0,11
강원,고성군,16,0,22,9,1,14,13,0,28,2.0,0.0,2.0,7,0,14
강원,양양군,15,0,21,23,0,37,16,0,30,17.0,0.0,23.0,11,2,17
충북,합계,734,9,1163,646,5,1025,599,9,960,567.0,5.0,867.0,478,6,696
충북,청주시,383,5,629,325,1,510,318,4,528,305.0,2.0,477.0,259,1,386
충북,충주시,92,1,140,90,1,154,69,2,101,75.0,2.0,121.0,58,1,75
충북,제천시,73,1,117,46,0,76,49,1,83,42.0,0.0,59.0,39,0,56
충북,보은군,4,0,6,10,0,15,14,0,21,12.0,0.0,15.0,15,1,18
충북,옥천군,13,0,18,7,0,9,10,0,18,15.0,0.0,24.0,5,0,7
충북,영동군,7,1,6,7,0,9,14,0,17,6.0,0.0,9.0,10,1,17
충북,진천군,49,1,72,37,0,54,40,0,62,40.0,0.0,55.0,29,0,38
충북,괴산군,14,0,23,16,1,26,13,0,16,8.0,0.0,11.0,13,0,25
충북,음성군,78,0,116,66,2,103,52,2,84,43.0,1.0,57.0,40,1,58
충북,단양군,10,0,15,16,0,28,8,0,10,5.0,0.0,14.0,4,1,5
충북,증평군,11,0,21,26,0,41,12,0,20,16.0,0.0,25.0,6,0,11
