시도,시군구,2015_사고[건],2015_사망[명],2015_부상[명],2015_(중상자[명]),2016_사고[건],2016_사망[명],2016_부상[명],2016_(중상자[명]),2017_사고[건],2017_사망[명],2017_부상[명],2017_(중상자[명]),2018_사고[건],2018_사망[명],2018_부상[명],2018_(중상자[명]),2019_사고[건],2019_사망[명],2019_부상[명],2019_(중상자[명])
합계,합계,24399.0,583.0,42880.0,9716.0,19769.0,481.0,34423.0,7362.0,19517.0,439.0,33364.0,7136.0,19381,346,32952,6721,15708.0,295.0,25961.0,5043.0
합계,종로구,68.0,0.0,100.0,23.0,77.0,0.0,121.0,25.0,70.0,0.0,144.0,25.0,63,0,110,18,48.0,0.0,78.0,10.0
합계,중구,57.0,0.0,131.0,34.0,51.0,0.0,97.0,23.0,39.0,0.0,66.0,15.0,70,1,104,25,30.0,0.0,42.0,10.0
합계,용산구,135.0,4.0,246.0,59.0,118.0,1.0,201.0,43.0,106.0,0.0,180.0,41.0,100,0,183,46,73.0,1.0,127.0,20.0
합계,성동구,88.0,2.0,135.0,24.0,80.0,1.0,136.0,21.0,79.0,0.0,160.0,31.0,85,1,156,32,61.0,0.0,92.0,20.0
합계,동대문구,143.0,1.0,248.0,66.0,106.0,2.0,185.0,43.0,94.0,6.0,151.0,33.0,97,1,162,39,63.0,0.0,86.0,29.0
합계,성북구,101.0,1.0,149.0,29.0,107.0,3.0,159.0,29.0,82.0,0.0,128.0,25.0,86,2,161,25,62.0,1.0,106.0,24.0
합계,도봉구,60.0,1.0,105.0,17.0,48.0,0.0,84.0,20.0,71.0,3.0,122.0,31.0,44,0,72,18,35.0,1.0,52.0,12.0
합계,은평구,96.0,0.0,189.0,46.0,82.0,0.0,120.0,26.0,69.0,1.0,144.0,30.0,79,0,137,28,77.0,0.0,126.0,27.0
합계,서대문구,68.0,1.0,110.0,27.0,75.0,1.0,141.0,21.0,52.0,0.0,83.0,8.0,58,0,98,11,35.0,0.0,59.0,9.0
합계,마포구,199.0,6.0,392.0,98.0,178.0,4.0,333.0,63.0,184.0,1.0,336.0,60.0,159,0,292,53,118.0,0.0,211.0,28.0
합계,강서구,154.0,1.0,268.0,58.0,128.0,2.0,205.0,33.0,122.0,1.0,223.0,34.0,137,2,265,57,110.0,0.0,166.0,26.0
합계,구로구,164.0,2.0,280.0,59.0,119.0,0.0,210.0,49.0,119.0,2.0,208.0,32.0,119,2,212,34,103.0,1.0,177.0,32.0
합계,영등포구,176.0,3.0,331.0,71.0,145.0,4.0,266.0,49.0,179.0,4.0,347.0,64.0,172,1,301,54,114.0,1.0,212.0,24.0
합계,동작구,114.0,1.0,223.0,46.0,80.0,0.0,135.0,24.0,101.0,2.0,185.0,31.0,79,1,155,37,67.0,0.0,144.0,19.0
합계,관악구,141.0,2.0,245.0,49.0,86.0,4.0,142.0,30.0,89.0,0.0,130.0,22.0,104,0,169,25,95.0,0.0,149.0,27.0
합계,강남구,470.0,3.0,857.0,183.0,406.0,5.0,748.0,148.0,403.0,1.0,692.0,146.0,373,1,677,151,293.0,1.0,523.0,75.0
합계,강동구,122.0,2.0,208.0,41.0,97.0,3.0,153.0,42.0,96.0,2.0,171.0,31.0,99,1,162,37,64.0,0.0,108.0,13.0
합계,송파구,222.0,0.0,403.0,73.0,199.0,1.0,339.0,59.0,207.0,2.0,374.0,74.0,199,2,344,65,161.0,0.0,295.0,52.0
합계,서초구,196.0,1.0,342.0,88.0,150.0,3.0,256.0,52.0,182.0,1.0,330.0,71.0,173,2,279,54,152.0,2.0,248.0,57.0
합계,양천구,137.0,0.0,248.0,53.0,94.0,1.0,187.0,28.0,96.0,0.0,183.0,32.0,91,0,152,23,64.0,1.0,121.0,19.0
합계,중랑구,94.0,2.0,147.0,36.0,72.0,0.0,133.0,20.0,80.0,1.0,149.0,30.0,82,1,122,18,74.0,0.0,102.0,18.0
합계,노원구,112.0,2.0,219.0,47.0,111.0,2.0,225.0,54.0,114.0,1.0,180.0,29.0,110,2,186,25,93.0,0.0,147.0,21.0
합계,광진구,148.0,4.0,284.0,60.0,104.0,2.0,177.0,41.0,77.0,2.0,134.0,23.0,107,4,173,28,62.0,1.0,100.0,23.0
합계,강북구,88.0,1.0,156.0,28.0,88.0,2.0,149.0,30.0,85.0,3.0,128.0,24.0,77,3,145,33,60.0,1.0,102.0,19.0
합계,금천구,100.0,1.0,189.0,23.0,73.0,0.0,120.0,17.0,68.0,0.0,141.0,27.0,93,0,188,27,76.0,2.0,117.0,17.0
합계,중구,27.0,2.0,42.0,8.0,14.0,0.0,28.0,10.0,16.0,1.0,24.0,6.0,21,0,35,9,10.0,0.0,15.0,5.0
합계,서구,34.0,0.0,64.0,13.0,16.0,0.0,18.0,9.0,20.0,1.0,27.0,8.0,16,1,28,3,28.0,0.0,35.0,10.0
합계,동구,28.0,0.0,48.0,12.0,20.0,0.0,30.0,7.0,22.0,1.0,37.0,18.0,21,0,40,8,21.0,0.0,33.0,9.0
합계,영도구,23.0,0.0,36.0,17.0,14.0,0.0,20.0,6.0,19.0,1.0,38.0,4.0,19,1,23,4,16.0,0.0,25.0,9.0
합계,진구,106.0,1.0,180.0,47.0,77.0,1.0,139.0,42.0,83.0,0.0,131.0,32.0,117,0,199,41,82.0,0.0,139.0,31.0
합계,동래구,71.0,0.0,101.0,35.0,57.0,0.0,96.0,18.0,73.0,3.0,122.0,27.0,48,0,69,17,53.0,0.0,90.0,16.0
합계,남구,50.0,1.0,82.0,13.0,61.0,1.0,96.0,28.0,56.0,0.0,79.0,21.0,45,2,67,15,32.0,1.0,55.0,15.0
합계,북구,77.0,0.0,140.0,36.0,41.0,0.0,65.0,18.0,49.0,1.0,85.0,19.0,43,1,80,18,44.0,0.0,66.0,14.0
합계,해운대구,129.0,4.0,225.0,49.0,121.0,1.0,204.0,57.0,76.0,5.0,133.0,43.0,93,2,169,34,71.0,5.0,113.0,13.0
합계,사하구,93.0,1.0,156.0,31.0,76.0,2.0,131.0,32.0,68.0,1.0,113.0,19.0,63,0,98,29,54.0,1.0,86.0,24.0
합계,금정구,52.0,2.0,93.0,19.0,46.0,3.0,79.0,20.0,43.0,2.0,71.0,22.0,37,0,54,14,35.0,1.0,56.0,12.0
합계,강서구,61.0,2.0,111.0,42.0,38.0,1.0,65.0,20.0,35.0,1.0,55.0,21.0,44,0,67,21,43.0,0.0,75.0,20.0
합계,연제구,54.0,0.0,84.0,28.0,41.0,0.0,84.0,20.0,39.0,0.0,69.0,18.0,33,0,57,11,40.0,0.0,59.0,9.0
합계,수영구,62.0,3.0,91.0,21.0,47.0,0.0,75.0,17.0,37.0,1.0,65.0,18.0,53,0,87,19,30.0,1.0,41.0,9.0
합계,사상구,74.0,0.0,134.0,31.0,65.0,0.0,111.0,20.0,47.0,0.0,74.0,23.0,52,2,94,23,52.0,0.0,78.0,22.0
합계,기장군,83.0,3.0,152.0,23.0,55.0,1.0,82.0,22.0,26.0,2.0,40.0,8.0,38,1,70,15,25.0,1.0,43.0,9.0
합계,중구,94.0,3.0,186.0,33.0,75.0,0.0,148.0,35.0,73.0,1.0,137.0,31.0,66,0,117,24,41.0,0.0,75.0,13.0
합계,동구,147.0,1.0,246.0,48.0,120.0,2.0,209.0,40.0,108.0,3.0,184.0,50.0,127,4,196,47,100.0,3.0,188.0,34.0
합계,서구,92.0,1.0,167.0,47.0,80.0,3.0,136.0,31.0,80.0,0.0,145.0,35.0,82,4,131,25,77.0,1.0,131.0,39.0
합계,남구,68.0,1.0,118.0,27.0,71.0,2.0,121.0,34.0,53.0,1.0,94.0,23.0,55,0,84,20,42.0,1.0,76.0,20.0
합계,북구,171.0,5.0,285.0,55.0,152.0,2.0,259.0,57.0,134.0,2.0,227.0,50.0,153,3,226,44,113.0,2.0,186.0,48.0
합계,수성구,219.0,6.0,408.0,115.0,152.0,4.0,277.0,73.0,147.0,1.0,275.0,68.0,137,2,249,41,91.0,3.0,164.0,37.0
합계,달서구,278.0,6.0,469.0,89.0,222.0,6.0,376.0,77.0,222.0,4.0,357.0,66.0,202,2,357,62,170.0,0.0,276.0,54.0
합계,달성군,65.0,0.0,104.0,35.0,66.0,5.0,87.0,25.0,73.0,6.0,109.0,37.0,68,3,113,18,68.0,3.0,113.0,31.0
합계,중구,81.0,2.0,138.0,32.0,47.0,0.0,81.0,23.0,29.0,0.0,55.0,12.0,60,1,93,23,64.0,0.0,112.0,26.0
