시도,시군구,2005_사고[건],2005_사망[명],2005_부상[명],2005_(중상자[명]),2006_사고[건],2006_사망[명],2006_부상[명],2006_(중상자[명]),2007_사고[건],2007_사망[명],2007_부상[명],2007_(중상자[명]),2008_사고[건],2008_사망[명],2008_부상[명],2008_(중상자[명]),2009_사고[건],2009_사망[명],2009_부상[명],2009_(중상자[명])
합계,합계,26460.0,910.0,48153.0,19878.0,29988.0,920.0,54253.0,21096.0,28415,991,51369,18051,26869,969,48490,16596,28204,897,50794,16371
합계,종로구,95.0,1.0,159.0,47.0,80.0,1.0,160.0,53.0,99,0,197,52,91,2,178,66,101,3,190,50
합계,중구,74.0,1.0,147.0,46.0,72.0,1.0,116.0,49.0,95,0,154,59,76,2,130,52,68,0,118,34
합계,용산구,121.0,5.0,229.0,74.0,133.0,5.0,230.0,82.0,130,4,217,60,85,3,150,55,98,1,178,56
합계,성동구,82.0,1.0,133.0,59.0,84.0,3.0,160.0,56.0,96,2,176,51,64,0,120,31,90,2,171,48
합계,동대문구,130.0,1.0,235.0,84.0,132.0,2.0,209.0,72.0,129,4,230,64,133,6,240,87,129,3,212,62
합계,성북구,106.0,1.0,174.0,64.0,119.0,1.0,209.0,47.0,108,0,166,46,119,2,187,38,146,0,258,52
합계,도봉구,79.0,1.0,157.0,54.0,82.0,3.0,157.0,42.0,66,1,125,28,72,2,152,37,91,4,180,58
합계,은평구,118.0,1.0,185.0,64.0,127.0,2.0,214.0,71.0,122,4,206,51,128,0,210,54,110,2,190,51
합계,서대문구,84.0,0.0,136.0,40.0,87.0,1.0,153.0,42.0,95,0,160,61,85,1,140,39,85,3,156,45
합계,마포구,195.0,9.0,391.0,136.0,223.0,2.0,382.0,126.0,189,2,325,117,187,1,330,96,166,2,315,94
합계,강서구,197.0,1.0,330.0,159.0,193.0,0.0,329.0,134.0,199,2,358,108,189,0,328,93,157,2,296,74
합계,구로구,121.0,7.0,210.0,73.0,168.0,4.0,321.0,106.0,175,3,297,104,149,2,274,85,148,1,263,71
합계,영등포구,196.0,3.0,370.0,132.0,236.0,0.0,426.0,135.0,220,4,415,145,176,3,310,92,185,2,333,101
합계,동작구,92.0,2.0,167.0,65.0,119.0,2.0,220.0,65.0,93,0,161,55,65,3,108,37,95,0,164,51
합계,관악구,147.0,1.0,272.0,88.0,191.0,0.0,319.0,103.0,160,1,303,92,167,3,275,83,128,1,217,70
합계,강남구,427.0,2.0,790.0,284.0,451.0,3.0,808.0,283.0,422,4,758,203,375,4,687,194,418,2,813,238
합계,강동구,110.0,2.0,171.0,57.0,118.0,2.0,180.0,62.0,146,4,245,84,144,5,260,73,119,3,216,61
합계,송파구,224.0,2.0,411.0,149.0,255.0,4.0,455.0,168.0,253,4,423,132,220,1,413,112,219,1,396,118
합계,서초구,177.0,2.0,316.0,94.0,234.0,3.0,450.0,139.0,213,4,385,129,173,0,330,114,185,7,333,118
합계,양천구,143.0,1.0,248.0,100.0,173.0,0.0,310.0,114.0,142,1,277,89,130,4,214,53,149,1,261,63
합계,중랑구,124.0,1.0,205.0,61.0,135.0,2.0,223.0,49.0,182,3,326,85,157,2,266,66,142,1,255,50
합계,노원구,158.0,2.0,302.0,102.0,150.0,4.0,279.0,69.0,158,4,298,79,141,5,233,73,159,6,288,82
합계,광진구,107.0,3.0,190.0,63.0,145.0,1.0,264.0,77.0,139,0,251,75,143,1,253,75,138,2,269,79
합계,강북구,91.0,0.0,162.0,37.0,93.0,0.0,155.0,32.0,102,0,168,39,116,4,181,54,106,2,183,42
합계,금천구,112.0,1.0,216.0,60.0,114.0,0.0,208.0,63.0,120,4,222,58,96,3,168,50,97,0,178,53
합계,중구,33.0,1.0,53.0,24.0,37.0,1.0,58.0,25.0,31,1,67,17,27,0,50,21,25,1,42,12
합계,서구,40.0,0.0,70.0,39.0,46.0,1.0,72.0,25.0,30,0,51,17,34,1,44,22,33,1,59,20
합계,동구,45.0,2.0,74.0,44.0,72.0,3.0,119.0,53.0,40,0,83,37,36,0,64,28,55,1,82,27
합계,영도구,32.0,0.0,51.0,18.0,41.0,0.0,77.0,29.0,23,3,31,13,18,0,30,16,18,0,25,9
합계,진구,166.0,2.0,279.0,123.0,195.0,2.0,348.0,147.0,135,2,239,101,120,2,227,94,139,2,235,95
합계,동래구,130.0,2.0,210.0,100.0,139.0,5.0,234.0,100.0,92,4,183,83,90,1,152,56,89,5,160,56
합계,남구,94.0,0.0,169.0,80.0,115.0,2.0,211.0,103.0,110,9,177,80,67,3,114,58,80,5,127,54
합계,북구,113.0,3.0,193.0,94.0,125.0,2.0,208.0,91.0,95,2,170,68,70,0,125,48,93,2,164,51
합계,해운대구,174.0,4.0,309.0,141.0,178.0,6.0,331.0,167.0,153,5,270,112,140,3,239,132,164,7,282,128
합계,사하구,140.0,3.0,277.0,121.0,153.0,3.0,286.0,110.0,113,2,184,66,125,4,212,69,120,1,234,88
합계,금정구,95.0,2.0,148.0,60.0,108.0,1.0,181.0,64.0,71,3,110,43,76,1,115,51,72,4,124,34
합계,강서구,61.0,8.0,115.0,49.0,98.0,8.0,194.0,94.0,76,9,128,56,78,6,155,76,71,2,153,73
합계,연제구,96.0,1.0,162.0,90.0,113.0,0.0,192.0,113.0,54,0,111,49,64,0,96,40,56,2,90,31
합계,수영구,96.0,4.0,173.0,87.0,96.0,1.0,151.0,85.0,74,1,123,66,47,1,85,33,53,1,94,43
합계,사상구,147.0,6.0,257.0,129.0,154.0,3.0,324.0,150.0,143,4,300,102,92,2,155,52,144,7,235,82
합계,기장군,63.0,2.0,119.0,31.0,67.0,1.0,133.0,61.0,58,2,94,38,56,6,99,34,59,3,99,46
합계,중구,84.0,1.0,170.0,67.0,104.0,1.0,203.0,82.0,89,1,169,50,86,3,166,58,74,1,138,53
합계,동구,180.0,9.0,300.0,143.0,173.0,6.0,323.0,140.0,197,4,362,162,184,5,318,109,169,4,287,73
합계,서구,160.0,4.0,266.0,107.0,174.0,4.0,308.0,111.0,188,4,343,120,170,2,308,100,150,2,278,87
합계,남구,118.0,2.0,198.0,94.0,118.0,0.0,210.0,77.0,109,4,198,78,96,1,158,49,107,0,197,83
합계,북구,290.0,11.0,466.0,204.0,357.0,8.0,655.0,226.0,316,5,594,214,260,6,496,137,295,10,468,143
합계,수성구,247.0,4.0,458.0,220.0,309.0,6.0,597.0,280.0,236,6,438,190,232,2,434,180,276,4,482,161
합계,달서구,366.0,3.0,626.0,279.0,386.0,8.0,746.0,311.0,367,7,610,229,304,7,529,183,314,4,570,184
합계,달성군,86.0,6.0,154.0,77.0,118.0,4.0,194.0,95.0,80,6,126,52,77,8,122,55,85,4,135,43
합계,중구,71.0,4.0,153.0,72.0,61.0,1.0,117.0,54.0,75,7,148,55,52,2,103,37,58,5,115,53
합계,동구,19.0,0.0,39.0,18.0,22.0,0.0,42.0,17.0,19,0,30,16,22,0,35,13,22,1,49,23
합계,미추홀구,229.0,1.0,441.0,198.0,245.0,1.0,477.0,174.0,247,4,487,152,260,5,485,150,259,5,451,156
