시도,시군구,2010_사고[건],2010_사망[명],2010_부상[명],2010_(중상자[명]),2011_사고[건],2011_사망[명],2011_부상[명],2011_(중상자[명]),2012_사고[건],2012_사망[명],2012_부상[명],2012_(중상자[명]),2013_사고[건],2013_사망[명],2013_부상[명],2013_(중상자[명]),2014_사고[건],2014_사망[명],2014_부상[명],2014_(중상자[명])
충남,청양군,24,4,40,19,19,1,34,15,33,3,52,30,20,2,24,13,20,3,23,12
충남,홍성군,69,5,103,56,61,5,119,50,67,5,108,51,72,7,108,42,61,3,94,54
충남,예산군,72,4,114,59,77,3,156,59,77,3,138,45,69,5,113,28,79,0,118,31
충남,당진시,126,6,219,70,140,8,250,52,152,10,291,81,172,11,329,114,118,8,205,51
충남,계룡시,12,0,16,7,10,0,13,5,11,0,17,2,13,0,22,4,11,1,18,5
전북,합계,1177,62,2112,456,1083,51,1959,413,1193,47,2130,436,1003,57,1854,362,882,28,1630,315
전북,전주시,456,13,862,153,425,4,821,139,477,9,903,163,379,8,751,108,335,8,656,96
전북,군산시,177,7,321,65,174,10,321,72,179,4,291,46,156,9,295,49,121,5,221,34
전북,정읍시,96,4,157,43,64,2,116,28,74,3,137,32,52,1,87,20,62,0,109,26
전북,남원시,39,2,63,16,26,2,50,17,37,3,64,22,39,2,51,19,41,3,69,21
전북,김제시,50,10,85,26,46,5,89,21,56,2,110,29,47,5,71,19,29,2,59,6
전북,완주군,68,6,136,39,60,5,89,19,51,5,92,19,54,4,110,26,47,1,78,15
전북,진안군,11,0,20,5,15,5,19,11,14,0,23,6,13,3,21,8,5,0,12,7
전북,무주군,11,2,14,5,14,2,25,8,6,0,15,5,9,0,16,7,7,0,9,3
전북,장수군,7,1,11,7,6,2,8,4,6,1,8,3,10,3,24,8,3,0,6,2
전북,임실군,6,0,6,3,3,1,2,2,7,2,11,3,7,1,11,3,10,1,13,7
전북,순창군,11,1,15,7,11,0,20,9,14,2,17,11,14,1,21,6,11,2,13,6
전북,고창군,23,4,34,10,18,3,31,14,31,2,59,30,21,5,31,12,15,0,23,9
전북,부안군,43,5,67,27,56,3,79,22,64,9,90,19,51,7,73,17,43,2,63,20
전북,익산시,179,7,321,50,165,7,289,47,177,5,310,48,151,8,292,60,153,4,299,63
전남,합계,1462,61,2490,591,1354,60,2330,516,1344,51,2430,517,1325,57,2319,469,1156,54,1956,388
전남,목포시,202,9,374,73,156,2,307,36,171,4,321,37,209,2,396,57,167,4,301,37
전남,여수시,186,8,310,60,186,6,338,52,230,5,472,79,208,3,367,42,178,12,313,43
전남,순천시,259,6,507,108,237,5,443,101,224,3,413,66,213,6,362,79,168,1,298,50
전남,나주시,106,4,170,26,90,3,169,22,70,0,127,27,82,2,143,16,61,4,121,18
전남,광양시,161,5,285,60,167,3,255,54,148,3,248,59,126,4,232,45,132,3,221,47
전남,담양군,29,0,52,9,24,1,35,7,26,1,38,12,38,1,64,17,32,1,51,8
전남,곡성군,12,1,13,4,13,1,23,6,12,0,16,5,18,1,29,5,10,0,15,9
전남,구례군,18,2,22,4,12,1,13,2,16,0,20,3,12,0,26,3,11,1,17,8
전남,고흥군,17,0,26,4,28,3,56,24,29,3,41,17,38,6,59,18,23,1,35,14
전남,보성군,25,2,34,12,23,1,37,14,16,1,22,3,25,1,39,9,34,5,48,15
전남,화순군,45,1,80,20,41,4,66,12,39,0,71,10,38,2,59,11,21,4,25,1
전남,장흥군,43,2,67,16,32,7,41,11,37,4,65,21,32,4,52,22,12,1,14,7
전남,강진군,40,3,57,20,23,2,37,14,27,1,43,12,22,5,40,13,24,3,32,15
전남,해남군,48,7,72,17,42,2,70,16,30,2,68,23,41,2,75,15,34,1,49,14
전남,영암군,72,0,134,57,65,1,112,31,70,6,117,28,65,6,122,44,71,4,125,28
전남,무안군,73,5,100,32,49,2,78,28,44,3,89,28,42,4,80,18,56,3,87,21
전남,함평군,14,0,19,7,19,2,28,10,18,0,31,12,17,0,25,7,21,2,29,7
전남,영광군,26,2,33,14,33,0,49,19,38,2,62,11,24,2,38,8,32,2,53,7
전남,장성군,21,3,34,9,37,3,62,15,32,5,58,15,21,0,32,7,19,0,37,6
전남,완도군,26,0,43,13,33,4,52,14,23,2,36,12,28,3,42,15,21,0,36,15
전남,진도군,26,0,40,15,28,5,38,20,20,3,33,14,17,2,27,13,16,1,27,7
전남,신안군,13,1,18,11,16,2,21,8,24,3,39,23,9,1,10,5,13,1,22,11
경북,합계,2090,83,3579,1370,2157,77,3658,1280,2051,83,3458,1084,1710,67,2922,957,1664,48,2797,852
경북,포항시,340,7,575,185,328,4,576,149,355,10,647,158,311,5,526,132,253,6,452,110
경북,경주시,231,9,414,170,298,9,508,221,233,5,360,128,198,8,363,129,204,3,371,104
경북,김천시,110,6,209,78,107,5,171,40,86,5,139,45,69,4,111,25,78,3,121,39
경북,안동시,116,2,189,86,143,8,244,88,138,14,257,91,115,3,189,58,120,2,203,51
경북,구미시,481,12,879,324,459,13,815,267,440,8,812,264,356,12,635,206,351,6,590,177
경북,영주시,78,2,141,53,71,4,112,53,85,0,140,46,57,0,93,39,36,0,51,26
경북,영천시,77,3,115,37,95,3,161,44,105,4,158,38,60,6,102,31,41,1,56,21
경북,문경시,41,0,59,25,40,0,65,31,35,0,57,22,39,2,58,21,26,0,40,13
경북,상주시,42,4,75,45,22,2,41,22,33,6,50,25,45,4,65,40,33,2,55,28
경북,군위군,13,0,19,12,18,2,25,13,18,2,24,7,23,8,36,17,9,0,13,4
경북,의성군,17,2,20,14,29,0,46,31,19,2,36,19,7,1,10,6,40,0,54,27
경북,청송군,4,1,3,2,9,1,21,4,14,0,19,7,10,1,12,3,14,0,25,12
경북,영양군,18,8,17,10,8,0,10,6,8,0,12,1,20,0,39,15,6,1,10,4
경북,영덕군,26,0,51,16,36,2,58,28,29,2,50,22,25,1,53,17,33,6,47,20
경북,청도군,38,1,72,36,32,1,54,25,34,2,47,22,28,0,51,22,34,0,56,13
경북,고령군,19,2,37,18,35,6,51,18,26,1,35,13,22,1,44,16,22,2,38,14
경북,성주군,37,5,59,26,41,1,61,19,29,1,46,20,33,2,45,14,30,2,54,12
경북,칠곡군,132,4,195,63,117,1,208,62,130,5,211,43,107,3,155,48,92,7,162,45
경북,예천군,22,3,39,24,23,4,36,15,21,4,26,14,16,0,20,11,15,0,22,12
경북,봉화군,15,1,27,17,19,1,26,8,9,0,11,4,7,0,10,2,16,0,31,18
경북,울진군,46,3,73,24,48,4,67,20,44,6,51,18,38,5,86,39,38,0,61,22
경북,울릉군,2,0,3,1,2,0,2,2,2,1,6,2,1,0,1,1,4,0,4,3
경북,경산시,185,8,308,104,177,6,300,114,158,5,264,75,123,1,218,65,169,7,281,77
경남,합계,1590,68,2681,1304,1486,57,2492,1109,1592,106,2589,1060,1569,81,2514,948,1431,59,2381,829
경남,마산시,95,4,151,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경남,진주시,110,4,170,105,92,1,147,97,129,14,207,112,142,2,247,122,103,12,197,92
경남,창원시,119,2,214,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경남,진해시,44,4,75,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경남,통영시,99,3,148,43,97,4,159,63,100,3,157,51,95,2,152,40,84,4,132,44
경남,김해시,226,10,395,201,244,9,415,189,251,10,425,207,214,15,356,154,196,7,321,160
경남,밀양시,45,2,73,44,58,3,100,54,44,11,73,38,47,1,74,28,45,5,68,17
경남,거제시,197,3,322,144,150,4,243,113,155,5,247,112,187,10,292,107,190,5,317,95
경남,의령군,9,0,16,11,13,2,16,7,10,3,10,2,15,2,20,11,20,3,23,7
경남,함안군,41,5,63,19,48,1,79,40,40,2,65,31,46,5,75,33,27,0,48,14
경남,창녕군,29,6,36,22,51,2,85,40,52,8,81,33,60,4,79,33,31,1,46,22
경남,양산시,133,8,228,97,127,4,227,76,137,10,215,61,106,6,169,61,106,3,178,69
경남,고성군,20,1,28,20,26,2,42,20,36,3,60,27,25,4,41,18,18,3,25,6
경남,사천시,59,0,99,35,50,2,90,29,61,4,101,34,57,4,83,23,66,3,120,33
경남,남해군,29,1,37,20,23,2,33,18,16,2,37,14,28,0,43,13,19,1,29,11
경남,하동군,15,2,30,15,21,2,28,17,18,0,29,11,21,2,32,15,15,0,26,12
경남,산청군,13,0,40,20,17,1,38,18,19,6,24,18,22,2,33,17,25,1,38,20
경남,함양군,11,1,13,9,20,0,36,14,17,3,21,8,17,1,22,10,19,0,34,12
경남,거창군,23,0,33,21,22,1,33,22,31,4,46,27,30,4,63,28,20,1,25,7
경남,합천군,20,4,38,17,8,0,11,8,10,0,17,8,14,1,17,11,12,0,19,9
경남,창원시(통합),253,8,472,226,419,17,710,284,466,18,774,266,443,16,716,224,435,10,735,199
제주,합계,349,15,556,129,350,14,535,124,458,16,749,185,416,14,671,179,415,11,680,139
제주,제주시,268,9,438,92,257,8,380,78,354,13,586,140,317,9,535,138,320,8,550,98
제주,서귀포시,81,6,118,37,93,6,155,46,104,3,163,45,99,5,136,41,95,3,130,41
